"customer_city","customer_state","total_sales"
"santa adelia","SP","191689.18"
"minacu","GO","191297.81"
"piratininga","SP","190862.88"
"conceicao das alagoas","MG","190402.40"
"casa nova","BA","190401.12"
"itaberaba","BA","190356.12"
"aperibe","RJ","189507.93"
"sao luis de montes belos","GO","188992.12"
"sidrolandia","MS","187938.06"
"comodoro","MT","187821.00"
"carmo do rio claro","MG","187105.35"
"cafelandia","PR","186310.50"
"lambari","MG","186220.10"
"ji-parana","RO","185763.88"
"andira","PR","185744.90"
"camocim","CE","184966.03"
"itapipoca","CE","184931.25"
"biritiba-mirim","SP","184833.09"
"auriflama","SP","184709.07"
"carandai","MG","184396.52"
"barroso","MG","184335.84"
"valente","BA","184319.10"
"almirante tamandare","PR","184304.35"
"baependi","MG","184137.24"
"assis chateaubriand","PR","183992.70"
"canarana","MT","183101.85"
"rio das pedras","SP","182264.96"
"campo verde","MT","182255.13"
"conchas","SP","181704.24"
"itapaje","CE","181529.24"
"pimenta bueno","RO","179975.07"
"carmo do cajuru","MG","179715.06"
"missal","PR","178856.37"
"pompeu","MG","178425.45"
"matias barbosa","MG","174276.20"
"matozinhos","MG","172781.28"
"paranatinga","MT","172479.44"
"costa rica","MS","171976.50"
"patos","PB","171039.83"
"iguatu","CE","170545.13"
"itapecerica","MG","169990.08"
"maraba","PA","169969.61"
"alto paraiso de goias","GO","168848.10"
"sao felix do xingu","PA","168537.60"
"rio pomba","MG","168458.90"
"cambe","PR","167376.60"
"mucuri","BA","167019.30"
"igarapava","SP","166845.72"
"sao lourenco do oeste","SC","166040.55"
"siqueira campos","PR","164697.39"
"conceicao do araguaia","PA","164406.00"
"ariquemes","RO","164369.81"
"duartina","SP","164222.90"
"jandaia do sul","PR","163913.00"
"cordeiropolis","SP","163707.84"
"aimores","MG","163326.80"
"guarabira","PB","162643.14"
"riachao do jacuipe","BA","162042.58"
"itabaiana","SE","161341.68"
"aparecida do taboado","MS","160579.38"
"arroio do meio","RS","159872.49"
"quedas do iguacu","PR","159718.20"
"afonso claudio","ES","159112.80"
"rio negrinho","SC","158898.95"
"sao miguel do iguacu","PR","158568.84"
"novo progresso","PA","158345.20"
"piracanjuba","GO","157009.40"
"turmalina","MG","156974.35"
"ibatiba","ES","156938.60"
"aguas formosas","MG","156476.43"
"ararangua","SC","154954.67"
"divino","MG","154725.12"
"tupaciguara","MG","154664.78"
"sao francisco","MG","154623.60"
"currais novos","RN","153910.83"
"seabra","BA","153866.84"
"camaragibe","PE","153669.65"
"cocal do sul","SC","152756.80"
"lucelia","SP","152669.37"
"sarandi","PR","151989.73"
"araujos","MG","151003.44"
"conceicao do coite","BA","150309.60"
"jequitinhonha","MG","150010.84"
"palmares","PE","149779.88"
"mata de sao joao","BA","149437.23"
"caarapo","MS","149136.79"
"tailandia","PA","148926.36"
"iracemapolis","SP","148652.50"
"mossoro","RN","148570.55"
"casca","RS","148233.54"
"brodowski","SP","148175.39"
"prudentopolis","PR","147583.12"
"monte aprazivel","SP","147126.00"
"ibaiti","PR","146640.24"
"penedo","AL","146525.64"
"viana","ES","146432.97"
"italva","RJ","146288.44"
"cambuci","RJ","145914.88"
"mangueirinha","PR","145651.68"
"jaguare","ES","144035.82"
"sao goncalo do sapucai","MG","143641.48"
"buritama","SP","143192.72"
"sao joaquim","SC","142832.51"
"pradopolis","SP","142732.92"
"potirendaba","SP","142363.00"
"serra talhada","PE","141612.85"
"herval d'oeste","SC","141466.86"
"sao lourenco da serra","SP","141131.12"
"barra do corda","MA","140851.36"
"xangri-la","RS","140758.66"
"acailandia","MA","140616.72"
"regente feijo","SP","140391.99"
"entre rios de minas","MG","140188.84"
"confresa","MT","139905.24"
"antonina","PR","139409.40"
"marituba","PA","139359.00"
"ico","CE","138965.65"
"sao marcos","RS","138271.64"
"embu","SP","138204.95"
"malacacheta","MG","137879.01"
"corinto","MG","137561.07"
"guarani","MG","136984.12"
"espumoso","RS","136202.32"
"bonito","MS","135814.46"
"itabera","SP","135545.22"
"ourilandia do norte","PA","135404.50"
"triunfo","RS","135213.32"
"guaira","PR","135212.40"
"sao gabriel do oeste","MS","135012.36"
"barra de sao francisco","ES","134745.60"
"coronel vivida","PR","134440.93"
"santa teresa","ES","133992.30"
"nova mutum","MT","133830.29"
"cambara","PR","132623.26"
"maracai","SP","131868.80"
"areado","MG","131150.60"
"orleans","SC","131031.27"
"prata","MG","130847.08"
"brejo santo","CE","130606.45"
"ibirama","SC","130057.20"
"porto real","RJ","130027.68"
"jijoca de jericoacoara","CE","130008.66"
"cacapava do sul","RS","129558.92"
"colorado","PR","129481.05"
"bofete","SP","129404.27"
"porciuncula","RJ","127894.95"
"realeza","PR","127148.40"
"pinhalzinho","SC","126904.40"
"santa cruz das palmeiras","SP","126679.72"
"montanha","ES","126668.36"
"nao-me-toque","RS","126389.90"
"maravilha","SC","126379.20"
"sao jose da lapa","MG","126227.04"
"correia pinto","SC","126013.50"
"pojuca","BA","125633.82"
"itapoa","SC","125091.25"
"faxinal dos guedes","SC","124721.28"
"tabapua","SP","124352.01"
"ipaussu","SP","124014.88"
"trindade","GO","123132.64"
"pacaembu","SP","122820.39"
"charqueada","SP","122633.60"
"paragominas","PA","122628.28"
"guara","SP","120866.20"
"cruzeiro do sul","AC","120595.42"
"jacunda","PA","119913.30"
"esplanada","BA","119200.40"
"jarinu","SP","118393.02"
"raul soares","MG","118125.99"
"serafina correa","RS","117788.94"
"areal","RJ","117358.18"
"aracariguama","SP","117133.75"
"teotonio vilela","AL","116972.10"
"sao simao","SP","116582.49"
"arapoti","PR","116562.81"
"paicandu","PR","116392.59"
"sao joao evangelista","MG","116364.88"
"paraopeba","MG","116274.66"
"altinopolis","SP","115965.08"
"rio brilhante","MS","115930.52"
"divinolandia","SP","115666.20"
"sao miguel do araguaia","GO","115370.28"
"rubiataba","GO","115015.55"
"itapui","SP","114471.20"
"ervalia","MG","114431.85"
"parapua","SP","114395.55"
"urupes","SP","114254.49"
"astolfo dutra","MG","113226.75"
"dores de campos","MG","112742.63"
"salesopolis","SP","112742.56"
"portao","RS","112256.82"
"afogados da ingazeira","PE","111747.30"
"cafelandia","SP","111698.40"
"pinheiros","ES","111155.94"
"tres coroas","RS","111078.56"
"bom conselho","PE","110899.20"
"apiai","SP","110815.70"
"pinhalzinho","SP","110733.12"
"ouroeste","SP","110692.89"
"carmopolis de minas","MG","110673.36"
"pombal","PB","110510.00"
"guapiacu","SP","110506.05"
"entre rios","BA","110495.28"
"sao joao do piaui","PI","110472.32"
"cruz","CE","109898.72"
"ipaba","MG","109382.94"
"otacilio costa","SC","109307.90"
"santa cecilia","SC","109234.44"
"cabo de santo agostinho","PE","109088.06"
"butia","RS","108946.63"
"lauro muller","SC","108608.92"
"sapezal","MT","108254.40"
"pirangi","SP","107714.40"
"girua","RS","107706.93"
"raposos","MG","107676.73"
"luis antonio","SP","107485.85"
"cassilandia","MS","107365.76"
"capinopolis","MG","107347.80"
"itamonte","MG","107190.82"
"santo augusto","RS","106789.76"
"lagoa grande","MG","106612.73"
"camamu","BA","106260.56"
"amambai","MS","105992.11"
"sao bento do una","PE","105537.64"
"capivari de baixo","SC","104930.46"
"rolim de moura","RO","104741.00"
"taruma","SP","104715.60"
"japeri","RJ","104667.47"
"encruzilhada do sul","RS","103975.69"
"bom principio","RS","103808.25"
"rolante","RS","103703.49"
"guarai","TO","103615.27"
"chapadao do ceu","GO","103430.25"
"taquaritinga do norte","PE","103399.80"
"cajuru","SP","103207.00"
"ipiau","BA","102274.82"
"miracatu","SP","102156.43"
"valparaiso","SP","102065.95"
"jacupiranga","SP","101840.55"
"itaobim","MG","101629.44"
"araquari","SC","101543.44"
"barbalha","CE","101532.47"
"mostardas","RS","101499.47"
"cruzeiro do sul","RS","101235.54"
"alpinopolis","MG","100822.80"
"horizontina","RS","100770.35"
"buri","SP","100408.49"
"domingos martins","ES","100168.62"
"mar de espanha","MG","100091.88"
"paraibuna","SP","99591.25"
"porto belo","SC","99297.44"
"morada nova","CE","99010.80"
"canavieiras","BA","98677.13"
"goiana","PE","98205.40"
"goias","GO","97701.67"
"juquia","SP","97325.92"
"angatuba","SP","97319.97"
"santa maria madalena","RJ","97301.10"
"alto araguaia","MT","97022.27"
"santa cruz do capibaribe","PE","96925.81"
"borborema","SP","96579.45"
"luziania","GO","96512.75"
"morro da fumaca","SC","96072.50"
"poco fundo","MG","95855.76"
"marilandia","ES","95593.20"
"bicas","MG","95540.50"
"itaberai","GO","95539.64"
"forquilhinha","SC","95431.70"
"perdizes","MG","95392.50"
"presidente getulio","SC","94845.49"
"simonesia","MG","94486.05"
"julio de castilhos","RS","94371.84"
"capanema","PR","94299.66"
"getulio vargas","RS","93833.88"
"macaubas","BA","93606.75"
"rio pardo","RS","92910.30"
"tucuma","PA","92683.32"
"cruzeiro do oeste","PR","92355.00"
"chavantes","SP","92331.20"
"pesqueira","PE","92252.95"
"maracanau","CE","91696.95"
"primeiro de maio","PR","91494.65"
"redencao","PA","91423.09"
"camacan","BA","91396.80"
"brasilia de minas","MG","91369.08"
"pedreiras","MA","91340.80"
"pitanga","PR","90548.79"
"mateus leme","MG","90338.60"
"capao do leao","RS","90335.52"
"nazare","BA","90123.88"
"goianesia","GO","89931.65"
"sape","PB","89884.52"
"vitoria de santo antao","PE","89020.36"
"aripuana","MT","88993.08"
"resplendor","MG","88792.40"
"barra do bugres","MT","88703.10"
"crissiumal","RS","88578.90"
"guaranesia","MG","88527.53"
"santa helena","PR","88412.50"
"schroeder","SC","88189.40"
"engenheiro coelho","SP","87631.04"
"porecatu","PR","87578.46"
"papucaia","RJ","87577.70"
"goitacazes","RJ","87459.12"
"botelhos","MG","87388.20"
"nova santa rita","RS","87248.00"
"alto do rodrigues","RN","87014.20"
"muzambinho","MG","86584.89"
"taguai","SP","86482.44"
"dores do indaia","MG","86383.98"
"cerro largo","RS","86241.95"
"colina","SP","86134.25"
"balsamo","SP","85775.76"
"joao neiva","ES","85671.60"
"bom jesus","GO","85664.81"
"ubirata","PR","85663.02"
"cananeia","SP","85566.78"
"arinos","MG","85423.98"
"ribeira do pombal","BA","85277.24"
"bocaina","SP","85154.72"
"cabreuva","SP","85080.24"
"coroata","MA","85022.08"
"inhambupe","BA","84859.74"
"seara","SC","84713.98"
"treze tilias","SC","84633.28"
"sao jose do norte","RS","84528.08"
"esperanca","PB","84323.60"
"itaiopolis","SC","83992.68"
"caucaia","CE","83886.46"
"pinhao","PR","83715.52"
"perdoes","MG","82721.10"
"campina verde","MG","82540.75"
"silvania","GO","82389.00"
"urussanga","SC","82314.08"
"vera cruz","BA","82294.38"
"jeremoabo","BA","82225.01"
"arraial d'ajuda","BA","81973.08"
"sertanopolis","PR","81659.34"
"faxinal","PR","81649.86"
"catende","PE","81550.56"
"buenopolis","MG","81508.32"
"ivaipora","PR","81389.22"
"lima duarte","MG","81035.68"
"santo estevao","BA","80961.54"
"trindade do sul","RS","80945.52"
"sao joao","PR","80924.04"
"jaiba","MG","80703.04"
"arroio do sal","RS","80470.80"
"lajedo","PE","80464.80"
"nova londrina","PR","80457.60"
"gravata","PE","80397.25"
"campanha","MG","80198.52"
"soledade","RS","79927.54"
"campos belos","GO","79767.58"
"arroio dos ratos","RS","79723.80"
"maragogi","AL","79014.61"
"delmiro gouveia","AL","78515.18"
"campo maior","PI","78452.30"
"juatuba","MG","78324.96"
"brazopolis","MG","78193.50"
"guabiruba","SC","77894.19"
"nepomuceno","MG","77825.28"
"piranguinho","MG","77733.10"
"bom jesus","PI","77665.52"
"fatima do sul","MS","76843.00"
"carlopolis","PR","76600.30"
"capela do alto","SP","76323.00"
"bom retiro do sul","RS","76264.32"
"neropolis","GO","76129.04"
"barreiros","PE","76070.20"
"novo gama","GO","75868.07"
"imbituva","PR","75833.78"
"tocantinopolis","TO","75782.40"
"sao cristovao","SE","75636.12"
"bom sucesso","MG","75597.20"
"novo cruzeiro","MG","75571.86"
"borda da mata","MG","75419.75"
"silva jardim","RJ","75348.43"
"monte santo de minas","MG","75332.00"
"macau","RN","75266.02"
"mimoso do sul","ES","75240.09"
"pedregulho","SP","75186.06"
"vila valerio","ES","75085.34"
"mirai","MG","74751.39"
"ronda alta","RS","74658.09"
"primavera","SP","74624.64"
"ecoporanga","ES","74478.95"
"vera cruz","SP","74303.28"
"itapuranga","GO","74241.24"
"apiuna","SC","74240.00"
"aguas da prata","SP","74196.63"
"garuva","SC","74144.70"
"tres cachoeiras","RS","73996.38"
"quixeramobim","CE","73918.02"
"lagoa formosa","MG","73753.60"
"guarei","SP","73621.28"
"santana do araguaia","PA","73395.50"
"mata verde","MG","73370.44"
"pinhalao","PR","73164.60"
"nazare paulista","SP","72877.74"
"sao joao dos patos","MA","72696.15"
"dourado","SP","72491.10"
"livramento de nossa senhora","BA","72314.01"
"acarau","CE","72157.36"
"nova petropolis","RS","72007.20"
"sao goncalo do rio abaixo","MG","71953.53"
"santa ines","MA","71913.36"
"ouro preto do oeste","RO","71848.00"
"colniza","MT","71790.18"
"jaragua","GO","71731.65"
"xinguara","PA","71725.32"
"crato","CE","71682.34"
"formosa do rio preto","BA","71639.04"
"jaru","RO","71571.60"
"santa branca","SP","71501.25"
"campinorte","GO","71431.11"
"crixas","GO","71154.72"
"bananal","SP","71023.93"
"virginopolis","MG","70994.30"
"boa esperanca","ES","70899.30"
"terra rica","PR","70805.96"
"mambore","PR","70563.72"
"abreu e lima","PE","70506.75"
"santo antonio do pinhal","SP","70150.64"
"rodeio","SC","70002.45"
"buriticupu","MA","69846.28"
"assai","PR","69746.28"
"joanopolis","SP","69647.27"
"pirapetinga","MG","69427.75"
"sao bento do sapucai","SP","69349.28"
"papanduva","SC","69255.35"
"piumhi","MG","69178.88"
"itaguacu","ES","69054.65"
"juara","MT","68904.15"
"boa esperanca do sul","SP","68858.16"
"altos","PI","68678.28"
"campos gerais","MG","68596.17"
"grajau","MA","68551.21"
"bonito","PE","68543.16"
"pacajus","CE","68400.00"
"candeias","BA","68069.16"
"conceicao do rio verde","MG","67910.50"
"paranapanema","SP","67614.19"
"mamanguape","PB","67510.56"
"serro","MG","67499.74"
"santa fe","PR","67364.48"
"piripiri","PI","67113.36"
"breves","PA","66757.86"
"capitolio","MG","66683.56"
"prado","BA","66667.86"
"medina","MG","66662.40"
"itapejara d'oeste","PR","66563.76"
"paranaita","MT","66543.51"
"dianopolis","TO","66428.37"
"cachoeira do campo","MG","66418.32"
"piquete","SP","66210.20"
"tabira","PE","66017.84"
"caxias","MA","65944.80"
"conceicao da aparecida","MG","65786.77"
"limoeiro","PE","65212.53"
"itambacuri","MG","64782.21"
"tupi paulista","SP","64645.28"
"vitorino freire","MA","64541.69"
"nova russas","CE","64471.05"
"moreno","PE","64326.03"
"matupa","MT","64184.33"
"acreuna","GO","64016.05"
"cajobi","SP","63958.95"
"piranhas","GO","63826.70"
"espigao do oeste","RO","63728.39"
"bituruna","PR","63412.38"
"chapada","RS","63358.53"
"surubim","PE","63298.58"
"cabrobo","PE","63080.05"
"parelhas","RN","62865.60"
"guaranta do norte","MT","62642.67"
"icem","SP","62618.40"
"riacho de santana","BA","62518.56"
"coruripe","AL","62518.14"
"cardoso","SP","62433.24"
"paco do lumiar","MA","62367.66"
"sumidouro","RJ","62320.59"
"valenca do piaui","PI","62163.85"
"itacare","BA","61967.40"
"nova prata do iguacu","PR","61629.88"
"sao sepe","RS","61222.48"
"salto do lontra","PR","61207.48"
"pecanha","MG","61140.80"
"oeiras","PI","61097.16"
"rio paranaiba","MG","60799.38"
"bady bassitt","SP","60690.20"
"sao jeronimo","RS","60535.22"
"maracas","BA","60519.21"
"monte belo","MG","60313.50"
"coaraci","BA","60192.92"
"antonio prado","RS","60081.30"
"candelaria","RS","59905.90"
"bom jardim de minas","MG","59829.28"
"sao francisco de paula","RS","59777.28"
"piraquara","PR","59774.05"
"barcarena","PA","59565.15"
"bataguassu","MS","59366.52"
"goianira","GO","59235.12"
"ibira","SP","59216.95"
"alvinopolis","MG","59215.68"
"sao miguel do guama","PA","59061.60"
"ruy barbosa","BA","58953.60"
"candeias","MG","58869.72"
"peabiru","PR","58753.04"
"marmeleiro","PR","58682.64"
"balneario pinhal","RS","58597.00"
"cacoal","RO","58492.16"
"queimadas","PB","58482.90"
"reginopolis","SP","58456.88"
"santo cristo","RS","58229.68"
"ortigueira","PR","58111.95"
"tapes","RS","57924.12"
"jaguaruana","CE","57589.90"
"piratuba","SC","57552.48"
"bonfinopolis de minas","MG","57350.00"
"astorga","PR","57296.84"
"colinas do tocantins","TO","57234.12"
"fronteira","MG","57215.09"
"uniao dos palmares","AL","56953.80"
"pauliceia","SP","56942.90"
"corrente","PI","56765.65"
"aguas lindas de goias","GO","56587.19"
"uruara","PA","56359.11"
"mallet","PR","56273.06"
"tucano","BA","56235.64"
"toritama","PE","56231.56"
"santa rita","PB","56180.10"
"capim grosso","BA","56166.30"
"barra da estiva","BA","55779.36"
"joao camara","RN","55738.78"
"bela cruz","CE","55321.38"
"catanduvas","SC","55109.34"
"belo oriente","MG","54979.32"
"general salgado","SP","54620.06"
"cabedelo","PB","54598.23"
"estiva gerbi","SP","54549.00"
"chui","RS","54489.60"
"santa rita do araguaia","GO","54433.68"
"vera cruz","RS","54088.00"
"parnamirim","PE","54066.22"
"palmitos","SC","54029.58"
"sao sebastiao da grama","SP","53998.98"
"sao benedito","CE","53996.76"
"acu","RN","53970.48"
"cansancao","BA","53911.98"
"itariri","SP","53770.47"
"presidente bernardes","SP","53670.02"
"guaicara","SP","53218.48"
"bilac","SP","53212.14"
"rio acima","MG","53192.25"
"timbauba","PE","53093.70"
"tocantins","MG","52937.32"
"tarumirim","MG","52910.50"
"pedra azul","MG","52748.60"
"sao jose do cedro","SC","52691.76"
"alfredo chaves","ES","52630.50"
"taua","CE","52557.54"
"euclides da cunha","BA","52552.08"
"mambai","GO","52548.30"
"ipueiras","CE","52367.62"
"araputanga","MT","52265.25"
"conceicao dos ouros","MG","52189.16"
"cameta","PA","52185.00"
"caninde","CE","52108.80"
"inhapim","MG","52012.20"
"urania","SP","51954.84"
"areiopolis","SP","51933.20"
"cascavel","CE","51444.75"
"gouveia","MG","51358.12"
"corbelia","PR","51039.30"
"aguas belas","PE","51028.60"
"pouso redondo","SC","50455.79"
"cidade gaucha","PR","50355.30"
"cristina","MG","50255.20"
"santa cruz cabralia","BA","50229.94"
"morretes","PR","50086.28"
"terra de areia","RS","50037.20"
"cidreira","RS","49986.30"
"igarata","SP","49788.33"
"morada nova de minas","MG","49665.16"
"nova esperanca do piria","PA","49558.52"
"iaciara","GO","49423.95"
"quixada","CE","49087.12"
"alvorada","TO","48861.00"
"chapada dos guimaraes","MT","48722.46"
"santa barbara d oeste","SP","48652.36"
"medeiros neto","BA","48634.69"
"santo antonio do jacinto","MG","48549.20"
"sao ludgero","SC","48523.15"
"nhandeara","SP","48445.80"
"lajinha","MG","48253.65"
"campos sales","CE","48198.28"
"patrocinio paulista","SP","48193.32"
"sananduva","RS","48016.74"
"nova europa","SP","47936.07"
"sobradinho","BA","47808.14"
"acopiara","CE","47788.51"
"canelinha","SC","47597.84"
"guaracai","SP","47560.82"
"imbuia","SC","47514.87"
"campinas do sul","RS","47468.44"
"alcobaca","BA","47420.80"
"engenheiro paulo de frontin","RJ","47271.20"
"carapebus","RJ","47191.20"
"redencao","CE","47060.80"
"cosmorama","SP","46936.65"
"terra roxa","PR","46828.16"
"candiota","RS","46779.20"
"pocoes","BA","46706.40"
"santa quiteria","CE","46703.92"
"trajano de moraes","RJ","46565.04"
"cacu","GO","46541.20"
"mozarlandia","GO","46369.84"
"madre de deus","BA","46297.44"
"abelardo luz","SC","46259.64"
"eugenopolis","MG","46069.77"
"rio pardo de minas","MG","46051.85"
"sao goncalo do para","MG","45864.95"
"lindoia","SP","45831.74"
"presidente olegario","MG","45707.62"
"nova trento","SC","45693.87"
"nova aurora","PR","45675.93"
"barra do choca","BA","45629.48"
"simao dias","SE","45482.22"
"avanhandava","SP","45266.50"
"cocal","PI","45244.16"
"cunha pora","SC","45152.25"
"timon","MA","44968.14"
"araguatins","TO","44714.80"
"tangua","RJ","44522.80"
"sao luis do paraitinga","SP","44461.53"
"rio largo","AL","44354.56"
"sao miguel","RN","44198.88"
"santa fe de goias","GO","44189.21"
"tupancireta","RS","44133.94"
"terra boa","PR","44084.94"
"jordania","MG","43982.40"
"sao jose do calcado","ES","43963.14"
"nova hartz","RS","43802.76"
"beberibe","CE","43773.84"
"lago da pedra","MA","43636.32"
"sao jose do egito","PE","43483.80"
"manoel ribas","PR","43054.56"
"nuporanga","SP","42979.68"
"marechal floriano","ES","42926.94"
"jacare","SP","42866.10"
"pinheiro machado","RS","42798.60"
"itaituba","PA","42796.67"
"alta floresta d'oeste","RO","42691.50"
"mario campos","MG","42627.20"
"severinia","SP","42290.20"
"buerarema","BA","42288.96"
"campina da lagoa","PR","42194.59"
"porto xavier","RS","42100.98"
"morro do chapeu","BA","42056.88"
"palestina","SP","41881.62"
"itapemirim","ES","41799.94"
"cacequi","RS","41671.24"
"barra do ribeiro","RS","41601.84"
"pedro de toledo","SP","41536.69"
"pinheiro","MA","41492.25"
"sales oliveira","SP","41430.84"
"taiuva","SP","41415.33"
"irapuru","SP","41382.18"
"pedralva","MG","41371.68"
"sao carlos","SC","41314.20"
"sao sebastiao do passe","BA","41289.75"
"santo antonio do descoberto","GO","41285.94"
"uruana","GO","41271.25"
"anicuns","GO","41268.69"
"santa cruz","RN","41143.20"
"tenente portela","RS","41075.40"
"cedral","SP","41066.60"
"carambei","PR","41062.50"
"aguas vermelhas","MG","40880.51"
"catas altas","MG","40612.25"
"benedito novo","SC","40469.49"
"ze doca","MA","40430.32"
"colinas","MA","40428.80"
"arapora","MG","40107.84"
"pedro canario","ES","40030.20"
"tarabai","SP","39929.60"
"bela vista de goias","GO","39927.55"
"tapiramuta","BA","39876.30"
"peixoto de azevedo","MT","39816.36"
"bela vista do paraiso","PR","39509.40"
"caetanopolis","MG","39475.38"
"varre-sai","RJ","39344.06"
"itabela","BA","39217.78"
"altonia","PR","39002.60"
"elias fausto","SP","38999.88"
"virgem da lapa","MG","38899.80"
"sao bento","PB","38891.34"
"lagoa grande","PE","38847.27"
"laurentino","SC","38847.15"
"carbonita","MG","38691.52"
"monte azul","MG","38683.64"
"floresta","PE","38207.95"
"ariranha","SP","38188.93"
"senges","PR","38084.50"
"fronteiras","PI","38038.68"
"jaguapita","PR","37952.64"
"rio branco do sul","PR","37923.84"
"vila muriqui","RJ","37683.80"
"sao pedro dos ferros","MG","37656.39"
"goianesia do para","PA","37623.69"
"carmo da mata","MG","37609.65"
"itororo","BA","37596.61"
"ladario","MS","37570.03"
"senador canedo","GO","37457.28"
"capitao leonidas marques","PR","37382.57"
"itau de minas","MG","37262.43"
"pianco","PB","37199.84"
"agrestina","PE","37194.12"
"santana do jacare","MG","37153.62"
"sao jose da barra","MG","37059.52"
"matipo","MG","37007.45"
"torrinha","SP","36878.82"
"paulo de faria","SP","36762.88"
"camapua","MS","36717.00"
"sao lourenco da mata","PE","36701.04"
"campos de julio","MT","36641.55"
"araruna","PR","36634.62"
"rio novo do sul","ES","36592.64"
"abrantes","BA","36545.28"
"fundao","ES","36516.45"
"santa isabel do para","PA","36458.25"
"cardoso moreira","RJ","36395.92"
"itarana","ES","36360.72"
"hidrolandia","CE","36300.75"
"cruzilia","MG","36228.06"
"sabino","SP","36129.15"
"dionisio cerqueira","SC","36038.88"
"campo ere","SC","36009.57"
"rio piracicaba","MG","35968.68"
"ribeirao claro","PR","35845.20"
"trancoso","BA","35826.84"
"guaraci","SP","35809.90"
"itajuipe","BA","35795.76"
"belo jardim","PE","35753.52"
"aquidauana","MS","35655.97"
"muqui","ES","35611.56"
"gravatal","SC","35457.00"
"guaraciaba do norte","CE","35431.20"
"ubajara","CE","35365.75"
"uchoa","SP","35270.95"
"minas novas","MG","34992.66"
"barra longa","MG","34880.30"
"propria","SE","34815.25"
"igarassu","PE","34811.46"
"ribeirao bonito","SP","34690.92"
"lagoa dourada","MG","34657.70"
"tiradentes","MG","34639.74"
"alto taquari","MT","34489.14"
"figueira","PR","34437.58"
"santa terezinha de itaipu","PR","34408.01"
"santana do acarau","CE","34398.76"
"nova santa rosa","PR","34266.78"
"paudalho","PE","34205.04"
"arari","MA","33980.39"
"cachoeira de minas","MG","33930.60"
"sao pedro do ivai","PR","33896.64"
"lagoa da confusao","TO","33470.64"
"paulistana","PI","33437.58"
"campos altos","MG","33406.87"
"barreirinhas","MA","33369.64"
"boa viagem","CE","33352.36"
"palma sola","SC","33348.15"
"macaiba","RN","33315.48"
"itauba","MT","33239.40"
"japuiba","RJ","33232.95"
"ipora do oeste","SC","33222.42"
"cacule","BA","33212.70"
"tabatinga","SP","33123.48"
"guadalupe","PI","33060.72"
"goianapolis","GO","33049.08"
"arroio grande","RS","32964.48"
"viana","MA","32960.46"
"jauru","MT","32802.98"
"orindiuva","SP","32738.68"
"fervedouro","MG","32729.69"
"santa rita de caldas","MG","32642.14"
"joaquim tavora","PR","32536.83"
"gandu","BA","32476.80"
"varjota","CE","32442.48"
"santo antonio do aracangua","SP","32421.71"
"caraubas","RN","32415.76"
"santa albertina","SP","32386.38"
"sanharo","PE","32340.00"
"sao miguel dos campos","AL","32292.75"
"paraiso","SP","32252.12"
"conceicao do castelo","ES","32242.00"
"ibitita","BA","32226.18"
"sabinopolis","MG","32208.15"
"formoso","MG","32082.70"
"rio casca","MG","32076.78"
"mundo novo","MS","32067.68"
"cambuquira","MG","31985.28"
"nova alvorada do sul","MS","31950.96"
"porteirinha","MG","31866.45"
"paulo frontin","PR","31833.00"
"periquito","MG","31762.00"
"remanso","BA","31719.35"
"florestopolis","PR","31667.35"
"engenheiro navarro","MG","31598.25"
"serranopolis","GO","31467.02"
"concordia do para","PA","31385.20"
"santana","AP","31382.06"
"comendador levy gasparian","RJ","31355.52"
"panorama","SP","31326.24"
"bom jesus do norte","ES","31274.00"
"itaju","SP","31259.47"
"santa cruz de minas","MG","31257.16"
"ivinhema","MS","31190.82"
"coribe","BA","31037.64"
"jaguaribe","CE","31024.80"
"cachoeira alta","GO","30879.48"
"vila rica","MT","30853.12"
"custodia","PE","30838.97"
"granja","CE","30813.20"
"ipu","CE","30531.20"
"horizonte","CE","30500.34"
"sao simao","GO","30395.88"
"ilha comprida","SP","30364.38"
"urucui","PI","30349.62"
"saltinho","SP","30276.05"
"canapolis","MG","30234.00"
"arceburgo","MG","30181.58"
"candido godoi","RS","30175.20"
"corupa","SC","30126.79"
"reboucas","PR","30096.18"
"frei inocencio","MG","30089.49"
"eldorado","SP","30086.76"
"rio novo","MG","30049.25"
"carpina","PE","30028.42"
"miguel calmon","BA","29936.78"
"jaboticatubas","MG","29928.19"
"sao bento","MA","29746.35"
"caiaponia","GO","29598.93"
"campestre","MG","29592.64"
"alcinopolis","MS","29522.85"
"capanema","PA","29281.54"
"passo de torres","SC","29250.40"
"gameleira","PE","29233.92"
"conde","BA","29090.16"
"sao domingos do prata","MG","28899.32"
"ceu azul","PR","28890.95"
"dumont","SP","28846.68"
"alfredo wagner","SC","28718.78"
"itapagipe","MG","28686.00"
"mato verde","MG","28657.64"
"sarandi","RS","28641.80"
"pedro osorio","RS","28613.24"
"santa helena","MA","28548.48"
"venturosa","PE","28535.32"
"mutuipe","BA","28424.41"
"pontalina","GO","28345.76"
"nova bassano","RS","28306.20"
"itaperucu","PR","28288.00"
"bela vista","MS","28235.52"
"costa marques","RO","28190.76"
"ribeirao do pinhal","PR","28181.79"
"sao tiago","MG","28149.60"
"morrinhos","CE","28119.75"
"valentim gentil","SP","28064.29"
"carmo de minas","MG","27981.20"
"reriutaba","CE","27964.23"
"echapora","SP","27959.25"
