"customer_city","customer_state","total_sales"
"sorriso","MT","1904289.25"
"teresopolis","RJ","1901065.43"
"arraial do cabo","RJ","1890746.45"
"sao lourenco","MG","1887589.11"
"botucatu","SP","1879939.81"
"andradina","SP","1874319.82"
"adamantina","SP","1870843.36"
"itu","SP","1863196.65"
"uba","MG","1862366.33"
"santa cruz do sul","RS","1857368.69"
"jacobina","BA","1848331.80"
"jacarei","SP","1832350.05"
"guanambi","BA","1815787.08"
"santo antonio de padua","RJ","1802749.89"
"novo hamburgo","RS","1800533.34"
"aracatuba","SP","1796603.96"
"valenca","BA","1792353.64"
"ponta grossa","PR","1778977.55"
"barra mansa","RJ","1772074.55"
"campo bom","RS","1764635.56"
"mogi-guacu","SP","1761049.59"
"sao jose dos pinhais","PR","1758882.36"
"montenegro","RS","1755131.61"
"mafra","SC","1736078.60"
"capivari","SP","1732270.08"
"tremembe","SP","1726213.20"
"taquaritinga","SP","1722996.03"
"tiete","SP","1722986.64"
"santa rita do sapucai","MG","1720176.71"
"santa fe do sul","SP","1713387.21"
"tubarao","SC","1707039.90"
"caceres","MT","1700568.00"
"rio branco","AC","1674841.70"
"muriae","MG","1673854.22"
"sao joaquim da barra","SP","1658960.10"
"amparo","SP","1656496.58"
"criciuma","SC","1643605.11"
"erechim","RS","1639855.72"
"rio bonito","RJ","1639509.33"
"uniao da vitoria","PR","1612608.49"
"cosmopolis","SP","1610658.32"
"linhares","ES","1610033.67"
"coronel fabriciano","MG","1594109.89"
"pato branco","PR","1579892.62"
"arcos","MG","1563222.96"
"salto","SP","1561562.77"
"piraju","SP","1558688.39"
"timoteo","MG","1544135.25"
"lauro de freitas","BA","1542596.01"
"valenca","RJ","1540413.60"
"palhoca","SC","1529266.38"
"xanxere","SC","1525918.39"
"tangara da serra","MT","1509768.20"
"vassouras","RJ","1488900.24"
"paranagua","PR","1488072.77"
"itapetininga","SP","1488017.84"
"barreiras","BA","1486613.60"
"bento goncalves","RS","1475040.92"
"congonhas","MG","1472863.81"
"gramado","RS","1452721.00"
"santa barbara d'oeste","SP","1426270.37"
"angra dos reis","RJ","1422668.67"
"orlandia","SP","1422042.16"
"joacaba","SC","1407701.21"
"cerquilho","SP","1405662.44"
"canoinhas","SC","1402120.30"
"ituverava","SP","1400880.06"
"simoes filho","BA","1389336.62"
"marechal candido rondon","PR","1388918.85"
"pedreira","SP","1383646.32"
"promissao","SP","1368619.04"
"porto feliz","SP","1355931.50"
"francisco beltrao","PR","1352674.37"
"barra do garcas","MT","1339406.88"
"barra bonita","SP","1339323.70"
"mogi mirim","SP","1330300.99"
"carangola","MG","1325614.95"
"santa barbara","MG","1325243.25"
"itarare","SP","1324734.78"
"cachoeiro de itapemirim","ES","1321242.46"
"campina grande","PB","1318628.74"
"timbo","SC","1318095.40"
"matao","SP","1310696.70"
"presidente venceslau","SP","1305622.37"
"sao joao del rei","MG","1303555.58"
"araguari","MG","1295817.97"
"votuporanga","SP","1290877.68"
"mage","RJ","1285025.68"
"extrema","MG","1281485.56"
"aparecida","SP","1266881.91"
"tatui","SP","1266717.12"
"caieiras","SP","1265027.89"
"cariacica","ES","1252358.53"
"sinop","MT","1248179.33"
"jaboatao dos guararapes","PE","1245988.48"
"ourinhos","SP","1244785.04"
"navegantes","SC","1216441.31"
"guaira","SP","1216333.25"
"santa isabel","SP","1210472.76"
"assis","SP","1191090.72"
"sao leopoldo","RS","1180378.95"
"alem paraiba","MG","1177631.64"
"caraguatatuba","SP","1172769.23"
"resende","RJ","1172367.85"
"vinhedo","SP","1170356.72"
"foz do iguacu","PR","1170088.35"
"diamantina","MG","1166079.93"
"votorantim","SP","1163797.02"
"balsas","MA","1156352.75"
"guarapari","ES","1154996.81"
"jaragua do sul","SC","1144073.36"
"santa cruz do rio pardo","SP","1143364.14"
"monte carmelo","MG","1142024.52"
"ituiutaba","MG","1126969.18"
"varginha","MG","1125287.49"
"imbituba","SC","1122970.68"
"macapa","AP","1119966.46"
"itupeva","SP","1112886.72"
"guaratingueta","SP","1112876.95"
"campo novo do parecis","MT","1112166.64"
"miguel pereira","RJ","1106794.54"
"rondonopolis","MT","1102244.23"
"panambi","RS","1091911.35"
"monte mor","SP","1090988.04"
"mandaguari","PR","1090034.22"
"piumhii","MG","1086802.84"
