"seller_id","total_sales","cnt_approved_order"
"1900267e848ceeba8fa32d80c1a5f5a8","33120.59","529"
"9f505651f4a6abe901a56cdc21508025","32391.86","430"
"d1c281d3ae149232351cd8c8cc885f0d","32339.06","240"
"0b90b6df587eb83608a64ea8b390cf07","32207.64","210"
"59b22a78efb79a4797979612b885db36","32082.07","133"
"d23019c84ffae2d5ef2270367b8605fc","31954.84","39"
"a3a38f4affed601eb87a97788c949667","31775.27","263"
"8b321bb669392f5163d04c59e235e066","31692.05","1018"
"900ba814c251a692506d7834c1218441","31467.94","88"
"16090f2ca825584b5a147ab24aa30c86","31173.11","410"
"d2374cbcbb3ca4ab1086534108cc3ab7","30817.80","631"
"12b9676b00f60f3b700e83af21824c0e","30342.69","135"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d","30335.93","174"
"897060da8b9a21f655304d50fd935913","29887.47","430"
"c003204e1ab016dfa150abc119207b24","29850.89","202"
"b32be1695eb7ec5f10f72d9610a12527","29831.02","46"
"de23c3b98a88888289c6f5cc1209054a","29081.81","181"
"dc4a0fc896dc34b0d5bfec8438291c80","28795.09","249"
"a416b6a846a11724393025641d4edd5e","28670.52","181"
"710e3548e02bc1d2831dfc4f1b5b14d4","27855.07","142"
"1c68394e931a64f90ea236c5ea590300","27729.16","171"
"1a3df491d1c4f1589fc2b934ada68bf2","27594.12","178"
"f62d7bb4a613ec758a03342d46b580b2","26790.59","32"
"b94cc9f10ddc85e4ba73a6f7974e7101","26368.49","39"
"7ad32824caee82087b3e2e5f33b1bf32","26050.32","184"
"8f2ce03f928b567e3d56181ae20ae952","25550.01","175"
"729f06993dac8e860d4f02d7088ca48a","25479.65","115"
"f45122a9ab94eb4f3f8953578bc0c560","25404.13","200"
"612170e34b97004b3ba37eae81836b4c","25372.08","110"
"b1b3948701c5c72445495bd161b83a4c","25185.49","18"
"8444e55c1f13cd5c179851e5ca5ebd00","24951.27","109"
"2b3e4a2a3ea8e01938cabda2a3e5cc79","24535.10","54"
"b37c4c02bda3161a7546a4e6d222d5b2","24487.60","15"
"744dac408745240a2c2528fb1b6028f3","24385.02","84"
"06e5eefc71ec47ae763c5c6f8db7064f","24381.84","95"
"85d9eb9ddc5d00ca9336a2219c97bb13","24029.58","522"
"40db9e9aa57f7bb151bcda6b0f9bdbb7","23823.99","12"
"05ff92fedb5be47920fea08e501238b9","23808.17","62"
"0dd184061fb0eaa7ca37932c68ab91c5","23766.42","193"
"59fb871bf6f4522a87ba567b42dafecf","23754.76","128"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b","23695.20","20"
"00ee68308b45bc5e2660cd833c3f81cc","23440.66","172"
"7b0df942f46435babab05d49b744b2c4","23272.78","32"
"004c9cd9d87a3c30c522c48c4fc07416","23263.94","169"
"f457c46070d02cadd8a68551231220dd","22807.22","234"
"bfd27a966d91cfaafdb25d076585f0da","22645.05","118"
"48162d548f5b1b11b9d29d1e01f75a61","22592.17","91"
"dc317f341ab0e22f39acbd9dbf9b4a1f","22570.13","58"
"44073f8b7e41514de3b7815dd0237f4f","21901.93","153"
"128639473a139ac0f3e5f5ade55873a5","21694.45","560"
"0c8380b62e38e8a1e6adbeba7eb9688c","21455.83","220"
"41b39e28db005d9731d9d485a83b4c38","21042.91","231"
"cd68562d3f44870c08922d380acae552","20777.19","132"
"821fb029fc6e495ca4f08a35d51e53a5","20740.25","29"
"54a1852d1b8f10312c55e906355666ee","20614.40","204"
"7aa4334be125fcdd2ba64b3180029f14","20603.33","240"
"86ccac0b835037332a596a33b6949ee1","20588.60","210"
"fa40cc5b934574b62717c68f3d678b6d","20586.77","340"
"76d64c4aca3a7baf218bf93ef7fa768d","20455.29","69"
"96493fab2fbb13a14d0c0e8772eef5c3","20181.23","64"
"d650b663c3b5f6fb392b6326366efa9a","20153.04","60"
"2a5b78b41cd05baeac8df54c6606b92c","20132.83","60"
"1e8b33f18b4f7598d87f5cbee2282cc2","20011.30","140"
"527801b552d0077ffd170872eb49683b","20005.36","92"
"c33847515fa6305ce6feb1e818569f13","19894.26","128"
"4b9750c8ad28220fe6702d4ecb7c898f","19305.10","222"
"9de4643a8dbde634fe55621059d92273","19282.41","81"
"2a84855fd20af891be03bc5924d2b453","19270.61","168"
"79ebd9a61bac3eaf882805ed4ecfa12a","19105.14","143"
"165fc07beebdcb6190fba8a06db2a449","19081.43","64"
"4c2b230173bb36f9b240f2b8ac11786e","18989.84","346"
"a888faf2d1baececa6baf9c3d603ee1f","18887.32","55"
"213b25e6f54661939f11710a6fddb871","18839.96","194"
"c72de06d72748d1a0dfb2125be43ba63","18733.18","22"
"94144541854e298c2d976cb893b81343","18715.65","76"
"ef0ace09169ac090589d85746e3e036f","18538.95","140"
"4a3ccda38b2129705f3fb522db62ca31","18494.93","78"
"0adac9fbd9a2b63cccaac4f8756c1ca8","18460.22","142"
"2138ccb85b11a4ec1e37afbd1c8eda1f","18426.25","429"
"abe42c5d03695b4257b5c6cbf4e6784e","18158.23","50"
"229c3efbfb0ea2058de4ccdfbc3d784a","18106.57","148"
"1b4c3a6f53068f0b6944d2d005c9fc89","17791.67","117"
"8ae520247981aa06bc94abddf5f46d34","17766.34","65"
"01fdefa7697d26ad920e9e0346d4bd1b","17690.07","131"
"66922902710d126a0e7d26b0e3805106","17581.07","156"
"d921b68bf747894be13a97ae52b0f386","17403.81","77"
"5cf13accae3222c70a9cac40818ae839","17402.47","156"
"ce248b21cb2adc36282ede306b7660e5","17296.95","66"
"e5a38146df062edaf55c38afa99e42dc","17254.59","125"
"d94a40fd42351c259927028d163af842","17220.94","110"
"c3acdfac4e3e97ff87529454fbc03642","17057.28","12"
"6d66611d7c44cc30ce351abc49a68421","16854.37","176"
"2e90cb1677d35cfe24eef47d441b7c87","16782.16","137"
"669ae81880e08f269a64487cfb287169","16621.46","186"
"f9244d45189d3a3605499abddeade7d5","16607.42","21"
"1f1bb1f0859883505541bdd6606193e5","16562.87","29"
"3b15288545f8928d3e65a8f949a28291","16513.69","121"
"6061155addc1e54b4cfb51c1c2a32ad8","16513.31","33"
"a673821011d0cec28146ea42f5ab767f","16490.14","146"
"75d34ebb1bd0bd7dde40dd507b8169c3","16479.51","72"
"c847e075301870dd144a116762eaff9a","16460.78","43"
"a3e9a2c700480d9bb01fba070ba80a0e","16323.89","144"
"cfb1a033743668a192316f3c6d1d2671","16236.20","184"
"8e6d7754bc7e0f22c96d255ebda59eba","16212.51","130"
"87b740daf17b5d1be335a64164ec6842","16182.38","13"
"a5cba26a62b8b4d0145b68b841e62e7f","16120.66","55"
"6edacfd9f9074789dad6d62ba7950b9c","16087.60","219"
"6039e27294dc75811c0d8a39069f52c0","16047.17","75"
"1f9ab4708f3056ede07124aad39a2554","16043.51","79"
"440dd6ab244315c632130ecfb63827b1","15793.21","95"
"ac3508719a1d8f5b7614b798f70af136","15792.23","104"
"701938c450705b8ae65fc923b70f35c7","15792.12","112"
"05f51e13da97139648b8125c31e5f51b","15788.30","63"
"530ec6109d11eaaf87999465c6afee01","15640.21","104"
"289cdb325fb7e7f891c38608bf9e0962","15639.29","126"
"b8bc237ba3788b23da09c0f1f3a3288c","15621.16","47"
"a7f13822ceb966b076af67121f87b063","15595.12","86"
"c31eff8334d6b3047ed34bebd4d62c36","15586.05","123"
"080199a181c46c657dc5aa235411be3b","15544.88","83"
"aba1721a889e04decc910aa13b768ef4","15352.47","92"
"431af27f296bc6519d890aa5a05fdb11","15250.85","125"
"e2a1ac9bf33e5549a2a4f834e70df2f8","15200.56","5"
"c6bda72e4dbf5c5866b13cb1810c6d03","15196.12","59"
"48436dade18ac8b2bce089ec2a041202","15183.64","151"
"cf8ab1616079e2793aa29d524df01bb1","15150.37","9"
"2e1c9f22be269ef4643f826c9e650a52","15122.37","173"
"0ea22c1cfbdc755f86b9b54b39c16043","15075.31","269"
"a6bd7d1ccdac48c6b33b28596b7eb122","15046.63","16"
"0b35c634521043bf4b47e21547b99ab5","15008.74","78"
"1ca7077d890b907f89be8c954a02686a","15001.43","137"
"9e6229250fedbe05838fef417b74e7fb","14986.65","78"
"00fc707aaaad2d31347cf883cd2dfe10","14969.99","135"
"ef506c96320abeedfb894c34db06f478","14968.43","340"
"d50d79cb34e38265a8649c383dcffd48","14944.68","70"
"e26901d5ab434ce92fd9b5c256820a4e","14938.88","221"
"e8b3a3a38279a82f0e5d006d5e5b7d2c","14916.39","92"
"ce7d1888639e6fb06b2749cbfdac1ff7","14876.54","84"
"813348c996469b40f2e028d5429d3495","14800.43","202"
"2b1a40c1daabc6ca280c4b815c101841","14634.88","35"
"d05ae8f7a5bd1d2a690a44cd079e4e27","14595.43","81"
"f08a5b9dd6767129688d001acafc21e5","14565.74","18"
"240b9776d844d37535668549a396af32","14452.65","36"
"610f72e407cdd7caaa2f8167b0163fd8","14429.45","17"
"34d1ca11b242c0fee2c834ae8d788566","14404.28","41"
"0be8ff43f22e456b4e0371b2245e4d01","14384.65","180"
"8d956fec2e4337affcb520f56fd8cbfd","14343.14","228"
"d6b1ce66b035a475f00c017792ff9769","14315.88","108"
"cab85505710c7cb9b720bceb52b01cee","14295.24","209"
"99eaacc9e6046db1c82b163c5f84869f","14274.52","70"
"95e03ca3d4146e4011985981aeb959b9","14243.50","193"
"80e6699fe29150b372a0c8a1ebf7dcc8","14154.90","99"
"ad97a199236354e53fcd91a5a913e9a2","14074.70","18"
"ff063b022a9a0aab91bad2c9088760b7","14061.27","96"
"e24fc9fcd865784fb25705606fe3dfe7","13966.71","56"
"7202e2ba20579a9bd1acb29e61fe71f6","13916.16","55"
"5a8e7d5003a1f221f9e1d6e411de7c23","13866.19","181"
"8cc6a0e5738e61a87b03c78b2ba9db4b","13838.22","26"
"b372ee768ed69e46ca8cdbd267aa7a38","13813.84","69"
"6cd68b3ed6d59aaa9fece558ad360c0a","13718.46","157"
"adbc26658d6c7b4b6219f9d934598091","13692.25","92"
"c66dccfb3f109511246da627dd5a2498","13682.25","45"
"c8b0e2b0a7095e5d8219575d5e7e1181","13657.34","85"
"c60b801f2d52c7f7f91de00870882a75","13652.89","41"
"056b4ada5bbc2c50cc7842547dda6b51","13639.41","66"
"5d378b73ab7dd6f0418d743e5dcb0bd1","13636.28","7"
"6e386f64c84e482f0b9abf960797ee1b","13563.66","30"
"70c27847eca8195c983ed7e798c56743","13529.18","98"
"1d8dbc4f32378d715c717c1c1fc57bae","13421.05","98"
"25e6ffe976bd75618accfe16cefcbd0d","13396.85","117"
"ed4acab38528488b65a9a9c603ff024a","13369.76","40"
"09f952a5f58d2285b0372551ae8f9b01","13346.46","56"
"039e6ad9dae79614493083e241147386","13273.42","5"
"c510bc1718f0f2961eaa42a23330681a","13211.87","13"
"ca3bd7cd9f149df75950150d010fe4a2","13171.37","138"
"54965bbe3e4f07ae045b90b0b8541f52","13164.84","86"
"23d7c96d4a1160db1c726b248601b25a","13146.52","55"
"d1b65fc7debc3361ea86b5f14c68d2e2","13141.80","41"
"562fc2f2c2863ab7e79a9e4388a58a14","13119.34","270"
"8b8cfc8305aa441e4239358c9f6f2485","13110.70","15"
"5058e8c1e82653974541e83690655b4a","13077.93","78"
"1da3aeb70d7989d1e6d9b0e887f97c23","13055.36","328"
"ce27a3cc3c8cc1ea79d11e561e9bebb6","13011.87","164"
"f262cbc1c910c83959f849465454ddd3","12989.85","207"
"66e0557ecc2b4dbea057e93f215f68d8","12977.99","31"
"4830e40640734fc1c52cd21127c341d4","12970.02","219"
"7040e82f899a04d1b434b795a43b4617","12955.98","228"
"b499c00f28f4b7069ff6550af8c1348a","12905.08","187"
"b4f8921fcc4ff77b66bea6dda43dcd51","12863.41","20"
"dd2bdf855a9172734fbc3744021ae9b9","12853.88","113"
"ccb83a794700270fde70898fe9ff368b","12785.73","12"
"c9c7905cffc4ef9ff9f113554423e671","12766.71","139"
"fbc14c0cf93505ef89f64665ffa4a7b5","12758.93","18"
"f3b80352b986ab4d1057a4b724be19d0","12692.73","92"
"7ea5bfa6c340f58f8e71fc1f0412b0d6","12663.88","104"
"d71d863e5ef30d94e440c11be17dcd8f","12655.65","36"
"72c5da29406b4234927b81855e7b64f6","12652.47","31"
"1c129092bf23f28a5930387c980c0dfc","12589.29","220"
"c4f7fee5b0db50e87766f5a4d1b1b758","12533.60","9"
"7901646fdd36a55f564ffaf2dbccaaf7","12478.83","27"
"82e0a475a88cc9595229d8029273f045","12415.92","80"
"5343d0649eca2a983820bfe93fc4d17e","12393.23","111"
"6973a06f484aacf400ece213dbf3d946","12374.62","115"
"c864036feaab8c1659f65ea4faebe1da","12299.77","58"
"33a6f4b1e7cdc205511e76ba1b6e0186","12183.91","126"
"17ca9b9e9b9ef8fdb529001b49ebb50f","12120.72","129"
"f80edd2c5aaa505cc4b0a3b219abf4b8","12108.94","128"
"dd7ddc04e1b6c2c614352b383efe2d36","12072.00","143"
"4e7c18b98d84e05cbae3ff0ff03846c2","12053.88","88"
"c4d51195486dc781531876a7d00453d8","12038.35","17"
"bba3293d6f5d5af2f415e004e8b93ae3","12028.79","17"
"bd23da7354813347129d751591d1a6e2","12011.13","90"
"9d5a9018aee56acb367ba9c3f05d1d6a","11982.21","79"
"8b28d096634035667e8263d57ba3368c","11967.15","155"
"31344c16881c08a8a72c6d2eb29918c1","11912.62","43"
"fffd5413c0700ac820c7069d66d98c89","11896.04","61"
"32b8764b4ef628b53608fc34011fcc13","11854.42","38"
"01cf7e3d21494c41fb86034f2e714fa1","11738.18","67"
"aaed1309374718fdd995ee4c58c9dfcd","11708.02","112"
"aafe36600ce604f205b86b5084d3d767","11673.20","131"
"9b013e03b2ab786505a1d3b5c0756754","11631.61","225"
"36a968b544695394e4e9d7572688598f","11628.87","162"
"3db66a856d18a9cba7c9241fc5221c50","11522.66","97"
"0df3984f9dfb3d49ac6366acbd3bbb85","11520.21","89"
"9d4db00d65d7760644ac0c14edb5fd86","11512.81","100"
"92eb0f42c21942b6552362b9b114707d","11492.67","365"
"6c7d50c24b3ccd2fd83b44d8bb34e073","11470.19","128"
"5656537e588803a555b8eb41f07a944b","11442.96","188"
"cbd996ad3c1b7dc71fd0e5f5df9087e2","11284.96","196"
"259f7b5e6e482c230e5bfaa670b6bb8f","11265.25","165"
"81a1104df0f08b59c68aa5b03cfe398e","11235.27","73"
"ea566164622c6b439516ab18062c42cd","11167.98","52"
"066a6914e1ebf3ea95a216c73a986b91","11115.95","74"
"e5a3438891c0bfdb9394643f95273d8e","11112.62","255"
"0db783cfcd3b73998abc6e10e59a102f","11076.55","135"
"7b07b3c7487f0ea825fc6df75abd658b","11074.64","98"
"1c5e4e49b9079480255b49d50aac1aa9","11062.72","12"
"624f4ece8da4aafb77699233d480f8ef","10927.37","55"
"06532f10282704ef4c69168b914b77be","10918.74","9"
"18a349e75d307f4b4cc646a691ed4216","10909.56","148"
"7008613ea464bad5cb9b83456e1e6a8f","10860.05","156"
"73a63f72308aa20a46f4b1632018f196","10785.79","41"
"054694fa03fe82cec4b7551487331d74","10703.75","22"
